key	読み上げる文
H-001_q	電波法の目的として、電波法に規定されているものはどれか。1番、電波の有効な利用を図ることによって、電気通信事業の発展に寄与すること。2番、電波の公平かつ能率的な利用を確保することによって、公共の福祉を増進すること。3番、無線通信の秘密を守ることによって、通信の安全を確保すること。4番、アマチュア無線の普及を図ることによって、無線技術の向上に寄与すること。
H-001_a	正解は、2番。電波の公平かつ能率的な利用を確保することによって、公共の福祉を増進すること。
H-001_e	解説。電波法第1条の目的です。キーワードは「公平かつ能率的な利用」と「公共の福祉を増進」の2つ。この2つがそろった選択肢を選べば正解です。
H-002_q	電波法に規定する「無線局」の定義はどれか。1番、送信装置と送信空中線系とから成る電波を送る設備をいう。2番、無線設備及び無線設備の操作を行う者の総体をいい、受信のみを目的とするものを含む。3番、無線電信、無線電話その他電波を送り、又は受けるための電気的設備をいう。4番、無線設備及び無線設備の操作を行う者の総体をいう。ただし、受信のみを目的とするものを含まない。
H-002_a	正解は、4番。無線設備及び無線設備の操作を行う者の総体をいう。ただし、受信のみを目的とするものを含まない。
H-002_e	解説。無線局は、設備だけでなく操作する人も含めた「総体」で、受信専用のものは含みません。「電波を送り、又は受けるための電気的設備」は無線設備、「送信装置と送信空中線系とから成る設備」は送信設備の定義なので、ひっかけに注意しましょう。
H-003_q	アマチュア業務の定義として、正しいものはどれか。1番、金銭上の利益のためでなく、もっぱら個人的な無線技術の興味によって行う自己訓練、通信及び技術的研究の業務。2番、個人的な無線技術の興味によって行う無線通信及び放送の業務。3番、営利を目的とせず、公共の利益のために行う非常通信の業務。4番、金銭上の利益のためでなく、趣味として行う無線通信の業務。
H-003_a	正解は、1番。金銭上の利益のためでなく、もっぱら個人的な無線技術の興味によって行う自己訓練、通信及び技術的研究の業務。
H-003_e	解説。「金銭上の利益のためでなく」「個人的な無線技術の興味」「自己訓練、通信及び技術的研究」の3つがそろっているのが正解です。
H-004_q	アマチュア局の免許の有効期間は、何年か。1番、1年。2番、3年。3番、5年。4番、10年。
H-004_a	正解は、3番。5年。
H-004_e	解説。アマチュア局の免許の有効期間は5年です。続けて運用するには、期限が切れる前に再免許の申請が必要です。
H-005_q	アマチュア局の再免許の申請は、免許の有効期間満了前のどの期間に行わなければならないか。1番、1箇月以上1年を超えない期間。2番、3箇月以上6箇月を超えない期間。3番、2週間以上3箇月を超えない期間。4番、6箇月以上1年を超えない期間。
H-005_a	正解は、1番。1箇月以上1年を超えない期間。
H-005_e	解説。アマチュア局の再免許は、満了の1か月前から1年前までの間に申請します。1か月以上、1年を超えない、と覚えましょう。
H-006_q	電波の型式、ジェイ・スリー・イーは、どのような電波か。1番、振幅変調で両そくはたいを使用する、アナログ信号の電話。2番、周波数変調の、アナログ信号の電話。3番、振幅変調でよくあつはんそうはの単そくはたいを使用する、デジタル信号の電信。4番、振幅変調でよくあつはんそうはの単そくはたいを使用する、アナログ信号の電話。
H-006_a	正解は、4番。振幅変調でよくあつはんそうはの単そくはたいを使用する、アナログ信号の電話。
H-006_e	解説。1文字目のジェイは、よくあつはんそうはの単そくはたい、つまりエス・エス・ビーです。2文字目のスリーはアナログ信号、3文字目のイーは電話です。エー・スリー・イーはエー・エムの電話、エフ・スリー・イーはエフ・エムの電話です。
H-007_q	周波数変調のアナログ信号による電話を表す電波の型式は、次のうちどれか。1番、エフスリーイー。2番、エーワンエー。3番、ジェイスリーイー。4番、エースリーイー。
H-007_a	正解は、1番。エフスリーイー。
H-007_e	解説。エフは周波数変調、つまりエフ・エムです。エー・スリー・イーはエー・エムの電話、ジェイ・スリー・イーはエス・エス・ビーの電話、エー・ワン・エーはモールス符号の電信です。
H-008_q	第四級アマチュア無線技士が操作できる無線設備のうち、30メガヘルツを超える周波数の電波を使用するものの空中線電力の上限はどれか。1番、10ワット。2番、20ワット。3番、50ワット。4番、100ワット。
H-008_a	正解は、2番。20ワット。
H-008_e	解説。30メガヘルツを超える周波数、たとえば144メガヘルツ帯や430メガヘルツ帯は20ワット以下です。21メガヘルツから30メガヘルツまでと8メガヘルツ以下は10ワット以下になります。
